SOC_gkg,latitude,longitude,elevation,slope,landcover,rainfall,lst,ndvi,twi,smi,soil_ph,soil_texture
6.911839393,-8.851441178,-48.78960557,251,0.97314155,10,20309.83516,34.80672911,0.49729133,15.34986109,0.880774302,5.4,6
6.918730298,-8.671192358,-49.18443496,176,0.1404549,10,20714.81133,38.38026902,0.3781935,19.45415598,0.907281578,4.9,6
6.925835678,-7.565594512,-48.11932812,255,1.2285095,10,19550.80103,32.63628641,0.47894704,16.99851972,0.864674712,5.2,6
6.96496551,-9.16104456,-49.73826133,180,0.23515233,10,20354.27874,31.61600744,0.64715004,20.89659982,0.857106638,5,6
7.040632716,-9.112841918,-49.66573228,187,0.48944682,10,20401.79222,32.67901166,0.5092539,20.04395749,0.864991633,4.9,6
7.090283764,-11.07148004,-49.51098585,213,0.93845123,10,19081.12961,31.12609124,0.5340715,15.12671754,0.85347261,5.2,6
7.098943892,-8.222587963,-47.08755942,350,4.6367803,10,18184.18019,31.30106131,0.5217344,15.12671754,0.854770477,5.5,6
7.120033717,-9.522582317,-48.97417772,350,1.4233706,10,20851.04049,34.57698934,0.5079692,14.65671391,0.879070172,5.4,6
7.123187388,-9.192561707,-49.55432253,203,0.12363852,10,20719.88911,35.85435224,0.40935224,16.41457183,0.888545206,5.1,6
7.126296037,-8.637129736,-48.83088167,293,1.7537585,10,20481.64724,33.01397762,0.5343626,17.7568062,0.867476294,5.4,6
7.181849692,-12.03665045,-48.5199584,239,0.5816006,10,18162.32601,28.71923549,0.42103657,24.30179336,0.83561939,5.5,6
7.213340197,-10.79349858,-49.77257111,180,0.039341003,10,19451.8053,32.08028849,0.546205,14.43357036,0.860550513,5.5,6
7.329255201,-12.7168322,-48.58256258,419,5.8916645,10,16531.68489,33.37799675,0.4657615,16.26615182,0.870176462,5.6,6
7.361906653,-9.536769498,-48.68166325,281,2.6668289,10,19569.26482,32.67217562,0.50792396,16.41457183,0.864940926,5.3,6
7.364479299,-13.20817704,-48.560223,518,8.393987,10,16211.19042,33.42926705,0.43197918,14.99318615,0.870556767,5.5,6
7.426902631,-6.210982906,-47.50140321,252,0.86509544,10,18313.2173,31.63651556,0.5046014,17.41672385,0.85725876,4.9,6
7.431412941,-11.3176016,-49.39169112,242,0.7384417,10,18482.01335,31.60233536,0.53512424,14.65671391,0.857005223,5.1,6
7.439625726,-11.58584988,-49.54857184,216,0.9371792,10,17737.7604,30.6179456,0.5623383,15.93764775,0.849703362,5.3,6
7.514093519,-8.821869521,-48.4030751,251,0.8264366,10,19825.17335,31.61771645,0.43262833,18.6117964,0.857119314,5.3,6
7.525047144,-9.076849951,-47.85540191,280,1.596039,10,19192.94156,28.86450134,0.49237636,17.15814986,0.836696922,5,6
7.535595652,-7.51069237,-48.10290715,234,0.5897629,10,19561.46386,28.62353093,0.44843763,16.37948051,0.834909487,5.3,6
