longitude,latitude,elevation,slope,rainfall,lst,ndvi,twi,smi,rf_predictions,,svr_predictions,gbr_predictions,dtr_predictions
-49.35421445,-11.61521978,286,1.3681674,17724.81539,32.13611615,0.48980212,14.65671391,0.860964623,8.399518791,,8.245442649,7.347523224,6.520275635
-49.63876353,-9.273611809,188,0.15946387,20321.45611,31.21883352,0.57346576,16.9390963,0.85416054,8.413993962,,8.245442649,7.324314715,6.520275635
-50.60810466,-11.81749984,196,0.055247724,17295.65203,32.91143702,0.37429968,0,0.866715684,7.939073955,,8.245442649,6.608226469,6.520275635
-47.46270642,-8.945073322,307,0.8997106,18788.04579,0,0.41906875,14.83903547,0,8.422049528,,8.245442649,7.449892261,6.520275635
-49.02511018,-12.17734301,283,0.4654174,16888.42673,36.41490752,0.3755339,15.24450057,0.89270321,8.397981333,,8.245442649,6.731491396,6.520275635
-48.03621304,-5.391517833,132,0.745898,18348.03729,33.62238518,0.44235387,16.80847611,0.87198925,8.396453716,,8.245442649,7.389770366,6.520275635
-48.83193094,-8.886155197,260,1.3270773,20607.54122,33.66340142,0.48282573,18.99531099,0.872293494,8.397352359,,8.245442649,7.347523224,6.520275635
-47.1867554,-13.08740594,480,0.31975204,14969.50874,31.7060153,0.4426488,16.04300827,0.857774285,8.404823675,,8.245442649,7.334811168,6.520275635
-49.59203632,-11.06599379,198,0.45294765,18842.3394,31.40750822,0.45778716,14.43357036,0.855560063,8.398831997,,8.245442649,7.358414954,6.520275635
-50.3393764,-11.53571106,190,0.039442305,17277.47976,34.49398028,0.38987246,14.43357036,0.878454439,8.402447831,,8.245442649,6.904047094,6.520275635
-50.23235412,-11.16072523,185,0,18121.97114,32.47393046,0.37462673,16.83146563,0.863470412,8.404835188,,8.245442649,6.747625114,6.520275635
-47.53435918,-10.43985809,313,0.85013765,17642.84023,36.70543922,0.4316991,15.99171498,0.894858273,8.396287726,,8.245442649,7.390224867,6.520275635
-48.874082,-11.72895123,275,0.7098682,17661.64169,33.47370131,0.443577,14.65671391,0.870886365,8.396453716,,8.245442649,7.389770366,6.520275635
-47.47203669,-8.412343898,273,1.4740783,18978.69603,33.08746505,0.39978835,14.99318615,0.868021399,8.397166006,,8.245442649,7.347523224,6.520275635
-49.91748016,-10.31849495,176,0.03864545,18829.75252,29.08496363,0.5341085,20.7637368,0.838332235,8.405728045,,8.245442649,7.351095284,6.520275635
-47.93165219,-7.785884274,171,0.3029812,19501.40053,29.50594976,0.47971028,18.18893955,0.841454963,8.405722318,,8.245442649,7.334811168,6.520275635
-49.15023749,-11.2456499,283,1.0018144,18603.07555,38.31489939,0.35810503,14.99318615,0.906796689,8.396509844,,8.245442649,6.952779502,6.520275635
-46.31987884,-10.85610467,599,2.37099,14360.73254,36.94213711,0.29074454,16.60262406,0.896614016,8.395629167,,8.245442649,7.339302132,6.520275635
-47.43467995,-10.18424133,281,0.737531,17170.4244,33.63605726,0.449759,14.65671391,0.872090665,8.396453716,,8.245442649,7.389770366,6.520275635
-49.40542678,-11.42087651,242,0.8780689,18147.71583,33.11720182,0.5227813,17.71071509,0.868241976,8.397512814,,8.245442649,7.389770366,6.520275635
-47.90935712,-11.28714043,313,0.85260737,17794.11542,31.06741523,0.55016506,15.53218265,0.853037371,8.404060189,,8.245442649,7.394497734,6.520275635
-47.79220049,-6.016397558,232,0.46738738,17981.69226,34.69222544,0.42945564,16.9390963,0.879924953,8.396489912,,8.245442649,7.358414954,6.520275635
-48.72664106,-11.64750396,234,0.14137101,17965.6129,31.04861612,0.44013393,20.49793679,0.852897926,8.407599497,,8.245442649,7.32020716,6.520275635
-46.74519496,-9.964076422,395,1.137013,16684.3305,40.70452262,0.29905766,16.18277021,0.924522083,8.401465882,,8.245442649,7.336644934,6.520275635
-47.3021137,-9.01122845,308,0.3033789,18622.74181,31.99540766,0.44856167,14.99318615,0.859920897,8.404823675,,8.245442649,7.334811168,6.520275635
-50.17911537,-9.859461134,171,0.15458144,19705.55396,32.52349175,0.48884997,23.71908777,0.863838041,8.410329187,,8.245442649,7.32020716,6.520275635
-48.21606143,-11.98502801,319,1.3637913,17049.75947,0,0.48024708,19.56050611,0,8.422167865,,8.245442649,7.40764512,6.520275635
-47.66915842,-12.19925514,434,3.5125515,15094.44101,22.72872819,0.565284,14.65671391,0.79118389,8.384104296,,8.245442649,7.28968243,6.520275635
-46.87762614,-12.40215529,364,0.59168977,15270.23116,31.20669954,0.5283243,20.82171151,0.854070534,8.399854899,,8.245442649,7.389770366,6.520275635
-48.34374334,-8.90472109,240,0.97907877,19808.90546,30.18385706,0.31393847,17.29577124,0.846483444,8.402435449,,8.245442649,7.633514293,6.520275635
-48.60686265,-11.70993604,239,0.2789557,18078.6288,35.98936403,0.31867334,14.83903547,0.889546676,8.40568281,,8.245442649,7.579009596,6.520275635
-48.02073202,-7.409785489,298,1.0856203,19507.95588,28.10399189,0.46365297,15.24450057,0.831055727,8.398795801,,8.245442649,7.389770366,6.520275635
-49.72700198,-10.88068385,186,0,19106.14151,33.04327493,0.4796655,14.65671391,0.867693612,8.402950523,,8.245442649,7.375003173,6.520275635
-48.53136411,-9.172189527,266,0.7797037,19864.45661,34.67000831,0.3430403,15.44517127,0.879760154,8.397922642,,8.245442649,7.116371097,6.520275635
-50.13142074,-11.60288202,192,0.05522596,16805.36081,34.36751354,0.4268503,14.65671391,0.877516353,8.406683685,,8.245442649,7.337187747,6.520275635
-49.03603448,-8.585154727,221,0.6752858,20415.23738,33.21222278,0.60157746,15.44517127,0.868946808,8.394892154,,8.245442649,7.39834395,6.520275635
-49.58085215,-11.64006258,212,0.3055817,17200.6106,33.23614892,0.45490083,14.99318615,0.869124284,8.40248159,,8.245442649,7.334811168,6.520275635
